,Sensor,Controle_Qualidade,Status_Sensor,Mudança_Status,Solução_Incremental,Usabilidade
45,Sensor 45,Ruim,Não Funcional,Não Funcional,Não,Não usável
46,Sensor 46,Ruim,Funcional,Não Funcional,Sim,Usável
47,Sensor 47,Regular,Não Funcional,Funcional,Sim,Usável
48,Sensor 48,Ruim,Funcional,Funcional,Sim,Não usável
49,Sensor 49,Bom,Funcional,Funcional,Sim,Não usável
50,Sensor 50,Ruim,Funcional,Não Funcional,Não,Não usável
51,Sensor 51,Ruim,Não Funcional,Não Funcional,Sim,Usável
52,Sensor 52,Regular,Não Funcional,Não Funcional,Sim,Usável
53,Sensor 53,Regular,Funcional,Funcional,Sim,Não usável
54,Sensor 54,Bom,Funcional,Funcional,Sim,Não usável
55,Sensor 55,Bom,Funcional,Não Funcional,Não,Não usável
56,Sensor 56,Regular,Funcional,Funcional,Sim,Usável
57,Sensor 57,Regular,Não Funcional,Funcional,Não,Usável
58,Sensor 58,Bom,Funcional,Não Funcional,Sim,Não usável
59,Sensor 59,Regular,Funcional,Não Funcional,Não,Não usável
60,Sensor 60,Regular,Funcional,Não Funcional,Não,Usável
61,Sensor 61,Ruim,Não Funcional,Não Funcional,Sim,Não usável
62,Sensor 62,Bom,Funcional,Não Funcional,Sim,Não usável
63,Sensor 63,Regular,Não Funcional,Funcional,Sim,Não usável
64,Sensor 64,Regular,Não Funcional,Funcional,Não,Não usável
65,Sensor 65,Bom,Não Funcional,Não Funcional,Não,Usável
66,Sensor 66,Ruim,Não Funcional,Não Funcional,Não,Usável
67,Sensor 67,Bom,Não Funcional,Funcional,Sim,Usável
68,Sensor 68,Ruim,Funcional,Não Funcional,Não,Não usável
69,Sensor 69,Ruim,Funcional,Funcional,Sim,Usável
70,Sensor 70,Ruim,Não Funcional,Funcional,Não,Usável
71,Sensor 71,Bom,Não Funcional,Funcional,Sim,Não usável
72,Sensor 72,Bom,Funcional,Funcional,Não,Não usável
73,Sensor 73,Bom,Não Funcional,Não Funcional,Não,Não usável
74,Sensor 74,Regular,Não Funcional,Funcional,Não,Usável
75,Sensor 75,Bom,Não Funcional,Não Funcional,Sim,Usável
76,Sensor 76,Ruim,Funcional,Não Funcional,Não,Usável
77,Sensor 77,Bom,Não Funcional,Não Funcional,Sim,Não usável
78,Sensor 78,Bom,Não Funcional,Funcional,Sim,Usável
79,Sensor 79,Regular,Não Funcional,Funcional,Não,Usável
80,Sensor 80,Regular,Funcional,Não Funcional,Sim,Usável
81,Sensor 81,Ruim,Funcional,Não Funcional,Sim,Não usável
82,Sensor 82,Regular,Funcional,Funcional,Sim,Não usável
83,Sensor 83,Regular,Não Funcional,Funcional,Sim,Não usável
84,Sensor 84,Bom,Não Funcional,Não Funcional,Sim,Usável
85,Sensor 85,Bom,Funcional,Não Funcional,Sim,Usável
86,Sensor 86,Bom,Não Funcional,Não Funcional,Sim,Usável
87,Sensor 87,Ruim,Não Funcional,Funcional,Sim,Usável
88,Sensor 88,Bom,Funcional,Não Funcional,Sim,Usável
89,Sensor 89,Bom,Funcional,Não Funcional,Não,Não usável
90,Sensor 90,Regular,Funcional,Funcional,Não,Usável
91,Sensor 91,Bom,Funcional,Funcional,Sim,Não usável
92,Sensor 92,Bom,Não Funcional,Não Funcional,Sim,Usável
93,Sensor 93,Bom,Funcional,Funcional,Sim,Não usável
94,Sensor 94,Bom,Funcional,Funcional,Não,Não usável
95,Sensor 95,Ruim,Funcional,Não Funcional,Não,Não usável
96,Sensor 96,Ruim,Funcional,Não Funcional,Sim,Usável
97,Sensor 97,Ruim,Funcional,Não Funcional,Não,Não usável
98,Sensor 98,Ruim,Funcional,Funcional,Não,Usável
99,Sensor 99,Bom,Funcional,Funcional,Não,Não usável
