,Sensor,Controle_Qualidade,Status_Sensor,Mudança_Status,Solução_Incremental,Usabilidade
56,Sensor 56,Regular,Não Funcional,Não Funcional,Não,Não usável
57,Sensor 57,Regular,Funcional,Funcional,Não,Não usável
58,Sensor 58,Ruim,Funcional,Funcional,Não,Não usável
59,Sensor 59,Bom,Funcional,Não Funcional,Não,Não usável
60,Sensor 60,Ruim,Funcional,Não Funcional,Sim,Não usável
61,Sensor 61,Ruim,Não Funcional,Não Funcional,Não,Usável
62,Sensor 62,Regular,Não Funcional,Não Funcional,Não,Não usável
63,Sensor 63,Regular,Não Funcional,Funcional,Sim,Usável
64,Sensor 64,Ruim,Não Funcional,Não Funcional,Não,Usável
65,Sensor 65,Ruim,Funcional,Funcional,Sim,Usável
66,Sensor 66,Ruim,Não Funcional,Não Funcional,Não,Usável
67,Sensor 67,Ruim,Não Funcional,Funcional,Sim,Usável
68,Sensor 68,Bom,Não Funcional,Funcional,Sim,Usável
69,Sensor 69,Regular,Não Funcional,Não Funcional,Sim,Não usável
70,Sensor 70,Regular,Funcional,Funcional,Não,Usável
71,Sensor 71,Regular,Não Funcional,Funcional,Sim,Usável
72,Sensor 72,Regular,Não Funcional,Funcional,Sim,Usável
73,Sensor 73,Ruim,Não Funcional,Funcional,Sim,Usável
74,Sensor 74,Bom,Funcional,Funcional,Não,Usável
75,Sensor 75,Ruim,Não Funcional,Funcional,Sim,Não usável
76,Sensor 76,Bom,Não Funcional,Não Funcional,Sim,Não usável
77,Sensor 77,Ruim,Não Funcional,Não Funcional,Sim,Usável
78,Sensor 78,Regular,Não Funcional,Funcional,Não,Usável
79,Sensor 79,Bom,Não Funcional,Funcional,Não,Não usável
80,Sensor 80,Ruim,Não Funcional,Funcional,Sim,Usável
81,Sensor 81,Regular,Funcional,Funcional,Não,Usável
82,Sensor 82,Ruim,Funcional,Não Funcional,Não,Não usável
83,Sensor 83,Regular,Funcional,Não Funcional,Sim,Usável
84,Sensor 84,Ruim,Funcional,Não Funcional,Não,Não usável
85,Sensor 85,Bom,Funcional,Não Funcional,Não,Não usável
86,Sensor 86,Bom,Funcional,Funcional,Não,Não usável
87,Sensor 87,Ruim,Não Funcional,Funcional,Não,Usável
88,Sensor 88,Ruim,Funcional,Não Funcional,Não,Usável
89,Sensor 89,Regular,Funcional,Não Funcional,Sim,Não usável
90,Sensor 90,Ruim,Funcional,Funcional,Não,Não usável
91,Sensor 91,Ruim,Funcional,Funcional,Não,Usável
92,Sensor 92,Bom,Não Funcional,Funcional,Sim,Usável
93,Sensor 93,Bom,Funcional,Funcional,Sim,Usável
94,Sensor 94,Regular,Funcional,Funcional,Não,Usável
95,Sensor 95,Regular,Funcional,Não Funcional,Não,Usável
96,Sensor 96,Ruim,Funcional,Funcional,Não,Usável
97,Sensor 97,Ruim,Funcional,Não Funcional,Sim,Usável
98,Sensor 98,Regular,Não Funcional,Funcional,Não,Não usável
99,Sensor 99,Bom,Não Funcional,Funcional,Não,Não usável
