,Sensor,Controle_Qualidade,Status_Sensor,Mudança_Status,Solução_Incremental,Usabilidade
46,Sensor 46,Regular,Não Funcional,Funcional,Sim,Usável
47,Sensor 47,Ruim,Não Funcional,Funcional,Sim,Usável
48,Sensor 48,Ruim,Não Funcional,Funcional,Não,Usável
49,Sensor 49,Regular,Funcional,Não Funcional,Não,Usável
50,Sensor 50,Ruim,Não Funcional,Não Funcional,Sim,Não usável
51,Sensor 51,Regular,Funcional,Não Funcional,Sim,Não usável
52,Sensor 52,Ruim,Funcional,Funcional,Sim,Não usável
53,Sensor 53,Bom,Não Funcional,Funcional,Não,Usável
54,Sensor 54,Regular,Não Funcional,Não Funcional,Sim,Não usável
55,Sensor 55,Regular,Funcional,Funcional,Sim,Usável
56,Sensor 56,Regular,Não Funcional,Funcional,Não,Usável
57,Sensor 57,Ruim,Funcional,Não Funcional,Sim,Não usável
58,Sensor 58,Regular,Não Funcional,Funcional,Não,Usável
59,Sensor 59,Bom,Funcional,Não Funcional,Não,Não usável
60,Sensor 60,Bom,Funcional,Funcional,Sim,Não usável
61,Sensor 61,Bom,Funcional,Funcional,Não,Não usável
62,Sensor 62,Ruim,Funcional,Não Funcional,Não,Usável
63,Sensor 63,Ruim,Não Funcional,Não Funcional,Sim,Não usável
64,Sensor 64,Bom,Não Funcional,Não Funcional,Não,Não usável
65,Sensor 65,Ruim,Funcional,Não Funcional,Não,Usável
66,Sensor 66,Regular,Não Funcional,Não Funcional,Não,Não usável
67,Sensor 67,Regular,Não Funcional,Funcional,Sim,Usável
68,Sensor 68,Regular,Não Funcional,Funcional,Sim,Usável
69,Sensor 69,Regular,Funcional,Funcional,Sim,Não usável
70,Sensor 70,Bom,Não Funcional,Funcional,Não,Não usável
71,Sensor 71,Regular,Não Funcional,Funcional,Sim,Usável
72,Sensor 72,Bom,Não Funcional,Não Funcional,Não,Usável
73,Sensor 73,Ruim,Funcional,Não Funcional,Sim,Não usável
74,Sensor 74,Ruim,Não Funcional,Não Funcional,Sim,Usável
75,Sensor 75,Ruim,Não Funcional,Não Funcional,Não,Não usável
76,Sensor 76,Regular,Não Funcional,Não Funcional,Sim,Não usável
77,Sensor 77,Ruim,Funcional,Funcional,Sim,Usável
78,Sensor 78,Bom,Funcional,Funcional,Sim,Usável
79,Sensor 79,Regular,Não Funcional,Não Funcional,Não,Não usável
80,Sensor 80,Regular,Funcional,Não Funcional,Sim,Usável
81,Sensor 81,Bom,Funcional,Funcional,Não,Usável
82,Sensor 82,Ruim,Funcional,Não Funcional,Sim,Não usável
83,Sensor 83,Ruim,Não Funcional,Não Funcional,Não,Não usável
84,Sensor 84,Ruim,Funcional,Funcional,Sim,Usável
85,Sensor 85,Ruim,Funcional,Não Funcional,Não,Não usável
86,Sensor 86,Regular,Funcional,Não Funcional,Sim,Não usável
87,Sensor 87,Bom,Funcional,Funcional,Sim,Usável
88,Sensor 88,Bom,Não Funcional,Funcional,Sim,Não usável
89,Sensor 89,Bom,Funcional,Não Funcional,Sim,Não usável
90,Sensor 90,Bom,Não Funcional,Não Funcional,Não,Usável
91,Sensor 91,Regular,Não Funcional,Não Funcional,Não,Não usável
92,Sensor 92,Bom,Funcional,Não Funcional,Não,Usável
93,Sensor 93,Regular,Funcional,Não Funcional,Não,Não usável
94,Sensor 94,Ruim,Não Funcional,Não Funcional,Não,Não usável
95,Sensor 95,Ruim,Não Funcional,Não Funcional,Não,Usável
96,Sensor 96,Regular,Funcional,Funcional,Não,Usável
97,Sensor 97,Ruim,Não Funcional,Não Funcional,Sim,Não usável
98,Sensor 98,Regular,Funcional,Funcional,Sim,Usável
99,Sensor 99,Regular,Funcional,Não Funcional,Não,Usável
