,Sensor,Controle_Qualidade,Status_Sensor,Mudança_Status,Solução_Incremental,Usabilidade
89,Sensor 89,Bom,Não Funcional,Funcional,Não,Não usável
90,Sensor 90,Ruim,Funcional,Não Funcional,Sim,Usável
91,Sensor 91,Regular,Funcional,Não Funcional,Sim,Usável
92,Sensor 92,Regular,Não Funcional,Não Funcional,Não,Não usável
93,Sensor 93,Regular,Não Funcional,Não Funcional,Sim,Usável
94,Sensor 94,Regular,Funcional,Funcional,Não,Usável
95,Sensor 95,Bom,Funcional,Não Funcional,Sim,Não usável
96,Sensor 96,Ruim,Não Funcional,Não Funcional,Sim,Não usável
97,Sensor 97,Regular,Não Funcional,Não Funcional,Não,Usável
98,Sensor 98,Ruim,Funcional,Funcional,Não,Não usável
99,Sensor 99,Ruim,Não Funcional,Não Funcional,Sim,Não usável
