Código_Sensor,Número_Chip,Código_Módulo,Controle_Qualidade,Status_Sensor,Mudança_Status,Solução_Incremental,Usabilidade
56,13502,479927,Ruim,Funcional,Não Funcional,Não,Usável
57,99050,329082,Regular,Não Funcional,Não Funcional,Sim,Não usável
58,54305,910071,Bom,Não Funcional,Não Funcional,Sim,Usável
59,47084,881583,Bom,Não Funcional,Funcional,Não,Não usável
60,43345,199578,Regular,Não Funcional,Funcional,Sim,Usável
61,68392,230962,Bom,Não Funcional,Funcional,Não,Não usável
62,98367,934692,Regular,Não Funcional,Funcional,Sim,Não usável
63,46364,484536,Ruim,Funcional,Funcional,Sim,Não usável
64,78495,222366,Bom,Funcional,Funcional,Sim,Usável
65,32786,552011,Ruim,Não Funcional,Não Funcional,Sim,Não usável
66,23058,189412,Bom,Funcional,Não Funcional,Sim,Não usável
67,81826,401871,Ruim,Não Funcional,Não Funcional,Sim,Não usável
68,26186,251498,Bom,Não Funcional,Funcional,Sim,Não usável
69,67672,344743,Ruim,Não Funcional,Não Funcional,Sim,Usável
70,97798,744940,Bom,Não Funcional,Funcional,Não,Não usável
71,14638,374664,Bom,Funcional,Funcional,Sim,Usável
72,97613,421082,Regular,Não Funcional,Não Funcional,Sim,Usável
73,36675,814059,Bom,Não Funcional,Funcional,Não,Não usável
74,94906,239663,Regular,Funcional,Funcional,Sim,Não usável
75,12639,814843,Regular,Não Funcional,Funcional,Sim,Não usável
76,37198,542433,Bom,Funcional,Funcional,Sim,Não usável
77,86300,629382,Regular,Funcional,Funcional,Sim,Não usável
78,24330,103034,Bom,Não Funcional,Funcional,Não,Usável
79,52277,470661,Bom,Funcional,Não Funcional,Não,Não usável
80,80431,351410,Regular,Funcional,Não Funcional,Sim,Usável
81,43906,491909,Ruim,Funcional,Não Funcional,Não,Usável
82,31521,189727,Bom,Funcional,Não Funcional,Não,Usável
83,59699,668910,Bom,Funcional,Não Funcional,Não,Usável
84,30251,114925,Bom,Funcional,Não Funcional,Sim,Não usável
85,68688,781367,Ruim,Não Funcional,Funcional,Sim,Usável
86,40683,326373,Regular,Funcional,Não Funcional,Não,Não usável
87,16779,958739,Ruim,Não Funcional,Funcional,Não,Não usável
88,59271,640472,Regular,Funcional,Não Funcional,Não,Usável
89,53242,699287,Ruim,Não Funcional,Não Funcional,Sim,Usável
90,53940,113517,Ruim,Não Funcional,Funcional,Não,Não usável
91,56003,187377,Regular,Não Funcional,Funcional,Não,Usável
92,78391,817624,Regular,Funcional,Não Funcional,Sim,Não usável
93,25271,343022,Ruim,Não Funcional,Não Funcional,Sim,Não usável
94,99731,615262,Ruim,Não Funcional,Funcional,Não,Não usável
95,55345,554318,Bom,Não Funcional,Funcional,Não,Não usável
96,45170,290641,Regular,Não Funcional,Funcional,Não,Não usável
97,65721,963673,Ruim,Funcional,Funcional,Não,Não usável
98,65912,907063,Ruim,Não Funcional,Não Funcional,Não,Não usável
99,71618,265058,Ruim,Não Funcional,Funcional,Sim,Não usável
