Código_Sensor,Número_Chip,Código_Módulo,Controle_Qualidade,Status_Sensor,Mudança_Status,Solução_Incremental,Usabilidade
77,66870,495199,Bom,Não Funcional,Não Funcional,Não,Usável
78,50610,323835,Bom,Não Funcional,Funcional,Não,Não usável
79,12643,136711,Ruim,Funcional,Não Funcional,Sim,Usável
80,43731,109337,Regular,Funcional,Funcional,Sim,Não usável
81,23021,679241,Bom,Funcional,Não Funcional,Não,Usável
82,95281,444929,Bom,Funcional,Não Funcional,Sim,Usável
83,79407,546371,Regular,Não Funcional,Funcional,Sim,Usável
84,81594,419766,Ruim,Funcional,Não Funcional,Sim,Não usável
85,64669,954112,Regular,Funcional,Não Funcional,Não,Usável
86,40856,760108,Regular,Não Funcional,Não Funcional,Não,Usável
87,84561,364884,Bom,Funcional,Funcional,Sim,Usável
88,74069,356618,Bom,Não Funcional,Funcional,Sim,Usável
89,52716,120770,Regular,Funcional,Não Funcional,Não,Usável
90,46183,692924,Ruim,Não Funcional,Funcional,Sim,Não usável
91,57436,468036,Bom,Não Funcional,Funcional,Sim,Usável
92,32804,271504,Ruim,Funcional,Funcional,Não,Usável
93,65794,695156,Bom,Não Funcional,Não Funcional,Sim,Não usável
94,12720,809309,Regular,Funcional,Não Funcional,Não,Usável
95,41454,783014,Regular,Não Funcional,Funcional,Sim,Não usável
96,83382,567896,Regular,Não Funcional,Funcional,Não,Usável
97,99345,967552,Bom,Não Funcional,Funcional,Sim,Usável
98,48638,176649,Bom,Funcional,Não Funcional,Sim,Não usável
99,89619,573667,Regular,Funcional,Não Funcional,Não,Usável
