Código_Sensor,Número_Chip,Código_Módulo,Controle_Qualidade,Status_Sensor,Mudança_Status,Solução_Incremental,Usabilidade
78,71186,888308,Bom,Não Funcional,Não Funcional,Não,Usável
79,49555,636251,Bom,Não Funcional,Não Funcional,Sim,Usável
80,95002,413616,Regular,Não Funcional,Não Funcional,Não,Usável
81,32579,107837,Bom,Funcional,Funcional,Não,Não usável
82,75981,655499,Ruim,Funcional,Funcional,Sim,Não usável
83,18267,382960,Regular,Funcional,Funcional,Sim,Não usável
84,83304,425247,Bom,Funcional,Não Funcional,Não,Usável
85,93743,715798,Regular,Funcional,Não Funcional,Sim,Usável
86,20275,811222,Regular,Não Funcional,Não Funcional,Não,Usável
87,28631,923668,Ruim,Não Funcional,Funcional,Não,Usável
88,42729,236338,Regular,Não Funcional,Funcional,Não,Usável
89,22794,983212,Bom,Não Funcional,Não Funcional,Não,Usável
90,26901,653968,Bom,Funcional,Não Funcional,Sim,Usável
91,59392,640911,Regular,Não Funcional,Funcional,Sim,Não usável
92,83948,427034,Ruim,Funcional,Não Funcional,Não,Usável
93,11171,167086,Regular,Funcional,Funcional,Não,Usável
94,34878,657894,Bom,Funcional,Funcional,Não,Usável
95,61794,788345,Ruim,Funcional,Funcional,Sim,Não usável
96,28887,132350,Regular,Não Funcional,Não Funcional,Sim,Usável
97,86385,943151,Regular,Funcional,Não Funcional,Não,Usável
98,94545,580476,Regular,Funcional,Não Funcional,Não,Usável
99,46520,609605,Regular,Funcional,Funcional,Sim,Não usável
